#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
GLH   CB    CT   1.9    0.72
GLH   HB2    HC   1.25    0.85
GLH   HB3    HC   1.25    0.85
GLH   CG    CT   1.9    0.72
GLH   HG2    HC   1.25    0.85
GLH   HG3    HC   1.25    0.85
GLH   CD    C   1.875    0.72
GLH   OE1    O   1.48    0.85
GLH   OE2    OH   1.535    0.85
GLH   HE2    HO   1.05    0.85
GLH   C    C   1.875    0.72
GLH   O    O   1.48    0.85
ALAE   N    N   1.7063    0.79
ALAE   H    H   1.15    0.85
ALAE   CA    CT   1.9    0.72
ALAE   HA    H1   1.25    0.85
ALAE   CB    CT   1.9    0.72
ALAE   HB1    HC   1.25    0.85
ALAE   HB2    HC   1.25    0.85
ALAE   HB3    HC   1.25    0.85
ALAE   C    C   1.875    0.72
ALAE   OXT    O2   1.48    0.85
ALAE   O    O2   1.48    0.85
GLYE   N    N   1.7063    0.79
GLYE   H    H   1.15    0.85
GLYE   CA    CT   1.9    0.72
GLYE   HA2    H1   1.25    0.85
GLYE   HA3    H1   1.25    0.85
GLYE   C    C   1.875    0.72
GLYE   OXT    O2   1.48    0.85
GLYE   O    O2   1.48    0.85
SERE   N    N   1.7063    0.79
SERE   H    H   1.15    0.85
SERE   CA    CT   1.9    0.72
SERE   HA    H1   1.25    0.85
SERE   CB    CT   1.9    0.72
SERE   HB2    H1   1.25    0.85
SERE   HB3    H1   1.25    0.85
SERE   OG    OH   1.535    0.85
SERE   HG    HO   1.05    0.85
SERE   C    C   1.875    0.72
SERE   OXT    O2   1.48    0.85
SERE   O    O2   1.48    0.85
THRE   N    N   1.7063    0.79
THRE   H    H   1.15    0.85
THRE   CA    CT   1.9    0.72
THRE   HA    H1   1.25    0.85
THRE   CB    CT   1.9    0.72
THRE   HB    H1   1.25    0.85
THRE   CG2    CT   1.9    0.72
THRE   HG21    HC   1.25    0.85
THRE   HG22    HC   1.25    0.85
THRE   HG23    HC   1.25    0.85
THRE   OG1    OH   1.535    0.85
THRE   HG1    HO   1.05    0.85
THRE   C    C   1.875    0.72
THRE   OXT    O2   1.48    0.85
THRE   O    O2   1.48    0.85
LEUE   N    N   1.7063    0.79
LEUE   H    H   1.15    0.85
LEUE   CA    CT   1.9    0.72
LEUE   HA    H1   1.25    0.85
LEUE   CB    CT   1.9    0.72
LEUE   HB2    HC   1.25    0.85
LEUE   HB3    HC   1.25    0.85
LEUE   CG    CT   1.9    0.72
LEUE   HG    HC   1.25    0.85
LEUE   CD1    CT   1.9    0.72
LEUE   HD11    HC   1.25    0.85
LEUE   HD12    HC   1.25    0.85
LEUE   HD13    HC   1.25    0.85
LEUE   CD2    CT   1.9    0.72
LEUE   HD21    HC   1.25    0.85
LEUE   HD22    HC   1.25    0.85
LEUE   HD23    HC   1.25    0.85
LEUE   C    C   1.875    0.72
LEUE   OXT    O2   1.48    0.85
LEUE   O    O2   1.48    0.85
ILEE   N    N   1.7063    0.79
ILEE   H    H   1.15    0.85
ILEE   CA    CT   1.9    0.72
ILEE   HA    H1   1.25    0.85
ILEE   CB    CT   1.9    0.72
ILEE   HB    HC   1.25    0.85
ILEE   CG2    CT   1.9    0.72
ILEE   HG21    HC   1.25    0.85
ILEE   HG22    HC   1.25    0.85
ILEE   HG23    HC   1.25    0.85
ILEE   CG1    CT   1.9    0.72
ILEE   HG12    HC   1.25    0.85
ILEE   HG13    HC   1.25    0.85
ILEE   CD1    CT   1.9    0.72
ILEE   HD11    HC   1.25    0.85
ILEE   HD12    HC   1.25    0.85
ILEE   HD13    HC   1.25    0.85
ILEE   C    C   1.875    0.72
ILEE   OXT    O2   1.48    0.85
ILEE   O    O2   1.48    0.85
VALE   N    N   1.7063    0.79
VALE   H    H   1.15    0.85
VALE   CA    CT   1.9    0.72
VALE   HA    H1   1.25    0.85
VALE   CB    CT   1.9    0.72
VALE   HB    HC   1.25    0.85
VALE   CG1    CT   1.9    0.72
VALE   HG11    HC   1.25    0.85
VALE   HG12    HC   1.25    0.85
VALE   HG13    HC   1.25    0.85
VALE   CG2    CT   1.9    0.72
VALE   HG21    HC   1.25    0.85
VALE   HG22    HC   1.25    0.85
VALE   HG23    HC   1.25    0.85
VALE   C    C   1.875    0.72
VALE   OXT    O2   1.48    0.85
VALE   O    O2   1.48    0.85
ASNE   N    N   1.7063    0.79
ASNE   H    H   1.15    0.85
ASNE   CA    CT   1.9    0.72
ASNE   HA    H1   1.25    0.85
ASNE   CB    CT   1.9    0.72
ASNE   HB2    HC   1.25    0.85
ASNE   HB3    HC   1.25    0.85
ASNE   CG    C   1.875    0.72
ASNE   OD1    O   1.48    0.85
ASNE   ND2    N   1.7063    0.79
ASNE   HD21    H   1.15    0.85
ASNE   HD22    H   1.15    0.85
ASNE   C    C   1.875    0.72
ASNE   OXT    O2   1.48    0.85
ASNE   O    O2   1.48    0.85
GLNE   N    N   1.7063    0.79
GLNE   H    H   1.15    0.85
GLNE   CA    CT   1.9    0.72
GLNE   HA    H1   1.25    0.85
GLNE   CB    CT   1.9    0.72
GLNE   HB2    HC   1.25    0.85
GLNE   HB3    HC   1.25    0.85
GLNE   CG    CT   1.9    0.72
GLNE   HG2    HC   1.25    0.85
GLNE   HG3    HC   1.25    0.85
GLNE   CD    C   1.875    0.72
GLNE   OE1    O   1.48    0.85
GLNE   NE2    N   1.7063    0.79
GLNE   HE21    H   1.15    0.85
GLNE   HE22    H   1.15    0.85
GLNE   C    C   1.875    0.72
GLNE   OXT    O2   1.48    0.85
GLNE   O    O2   1.48    0.85
ARGE   N    N   1.7063    0.79
ARGE   H    H   1.15    0.85
ARGE   CA    CT   1.9    0.72
ARGE   HA    H1   1.25    0.85
ARGE   CB    CT   1.9    0.72
ARGE   HB2    HC   1.25    0.85
ARGE   HB3    HC   1.25    0.85
ARGE   CG    CT   1.9    0.72
ARGE   HG2    HC   1.25    0.85
ARGE   HG3    HC   1.25    0.85
ARGE   CD    CT   1.9    0.72
ARGE   HD2    H1   1.25    0.85
ARGE   HD3    H1   1.25    0.85
ARGE   NE    N2   1.7063    0.79
ARGE   HE    H   1.15    0.85
ARGE   CZ    CA   1.875    0.72
ARGE   NH1    N2   1.7063    0.79
ARGE   HH11    H   1.15    0.85
ARGE   HH12    H   1.15    0.85
ARGE   NH2    N2   1.7063    0.79
ARGE   HH21    H   1.15    0.85
ARGE   HH22    H   1.15    0.85
ARGE   C    C   1.875    0.72
ARGE   OXT    O2   1.48    0.85
ARGE   O    O2   1.48    0.85
HIDE   N    N   1.7063    0.79
HIDE   H    H   1.15    0.85
HIDE   CA    CT   1.9    0.72
HIDE   HA    H1   1.25    0.85
HIDE   CB    CT   1.9    0.72
HIDE   HB2    HC   1.25    0.85
HIDE   HB3    HC   1.25    0.85
HIDE   CG    CC   1.875    0.72
HIDE   ND1    NA   1.7063    0.79
HIDE   HD1    H   1.15    0.85
HIDE   CE1    CR   1.875    0.72
HIDE   HE1    H5   1.25    0.85
HIDE   NE2    NB   1.7063    0.79
HIDE   CD2    CV   1.875    0.72
HIDE   HD2    H4   1.15    0.85
HIDE   C    C   1.875    0.72
HIDE   OXT    O2   1.48    0.85
HIDE   O    O2   1.48    0.85
HIEE   N    N   1.7063    0.79
HIEE   H    H   1.15    0.85
HIEE   CA    CT   1.9    0.72
HIEE   HA    H1   1.25    0.85
HIEE   CB    CT   1.9    0.72
HIEE   HB2    HC   1.25    0.85
HIEE   HB3    HC   1.25    0.85
HIEE   CG    CC   1.875    0.72
HIEE   ND1    NB   1.7063    0.79
HIEE   CE1    CR   1.875    0.72
HIEE   HE1    H5   1.25    0.85
HIEE   NE2    NA   1.7063    0.79
HIEE   HE2    H   1.15    0.85
HIEE   CD2    CW   1.875    0.72
HIEE   HD2    H4   1.15    0.85
HIEE   C    C   1.875    0.72
HIEE   OXT    O2   1.48    0.85
HIEE   O    O2   1.48    0.85
HIPE   N    N   1.7063    0.79
HIPE   H    H   1.15    0.85
HIPE   CA    CT   1.9    0.72
HIPE   HA    H1   1.25    0.85
HIPE   CB    CT   1.9    0.72
HIPE   HB2    HC   1.25    0.85
HIPE   HB3    HC   1.25    0.85
HIPE   CG    CC   1.875    0.72
HIPE   ND1    NA   1.7063    0.79
HIPE   HD1    H   1.15    0.85
HIPE   CE1    CR   1.875    0.72
HIPE   HE1    H5   1.25    0.85
HIPE   NE2    NA   1.7063    0.79
HIPE   HE2    H   1.15    0.85
HIPE   CD2    CW   1.875    0.72
HIPE   HD2    H4   1.15    0.85
HIPE   C    C   1.875    0.72
HIPE   OXT    O2   1.48    0.85
HIPE   O    O2   1.48    0.85
TRPE   N    N   1.7063    0.79
TRPE   H    H   1.15    0.85
TRPE   CA    CT   1.9    0.72
TRPE   HA    H1   1.25    0.85
TRPE   CB    CT   1.9    0.72
TRPE   HB2    HC   1.25    0.85
TRPE   HB3    HC   1.25    0.85
TRPE   CG    C*   1.875    0.72
TRPE   CD1    CW   1.875    0.72
TRPE   HD1    H4   1.15    0.85
TRPE   NE1    NA   1.7063    0.79
