# Solvent params for SGB 

# residue  PDBatomName radNpSGB radNpType SGBNpGamma  SGBNpType

aspb _OD2  1.6780   1.4800  -0.350477400  15.005156000
aspb _O__  1.6780   1.4800   0.010478200   0.635855300
aspe _CA_  1.9750   1.7500   0.000085900  -0.754493700
aspe _CB_  1.9750   1.7500   0.000085900  -0.754493700
aspe _CG_  2.1120   1.8750  -0.026933700  -0.722204000
aspe _C__  2.1120   1.8750  -0.026933700  -0.722204000
aspe _HA_  1.4250   1.2500   0.008394800   0.285390400
aspe _HB2  1.4250   1.2500   0.008394800   0.285390400
aspe _HB3  1.4250   1.2500   0.008394800   0.285390400
aspe _H__  0.9960   0.8600   0.079817800  -1.129220000
aspe _N__  1.9200   1.7000   0.168599800  -5.228863800
aspe _OD1  1.6780   1.4800  -0.350477400  15.005156000
aspe _OD2  1.6780   1.4800  -0.350477400  15.005156000
aspe _OXT  1.6780   1.4800  -0.350477400  15.005156000
aspe _O__  1.6780   1.4800  -0.350477400  15.005156000
aspz _CA_  1.9750   1.7500   0.000085900  -0.754493700
aspz _CB_  1.9750   1.7500   0.000085900  -0.754493700
aspz _CG_  2.1120   1.8750  -0.026933700  -0.722204000
aspz _C__  2.1120   1.8750  -0.026933700  -0.722204000
aspz _H1_  0.9960   0.8600   0.079817800  -1.129220000
aspz _H2_  0.9960   0.8600   0.079817800  -1.129220000
aspz _H3_  0.9960   0.8600   0.079817800  -1.129220000
aspz _HA_  1.4250   1.2500   0.008394800   0.285390400
aspz _HB2  1.4250   1.2500   0.008394800   0.285390400
aspz _HB3  1.4250   1.2500   0.008394800   0.285390400
aspz _N__  2.1000   1.6250  -0.100907100   4.805719700
aspz _OD1  1.6780   1.4800  -0.350477400  15.005156000
aspz _OD2  1.6780   1.4800  -0.350477400  15.005156000
aspz _OXT  1.6780   1.4800  -0.350477400  15.005156000
aspz _O__  1.6780   1.4800  -0.350477400  15.005156000
cys  _CA_  1.9750   1.7500   0.000085900  -0.754493700
cys  _CB_  1.9750   1.7500   0.000085900  -0.754493700
cys  _C__  2.1120   1.8750  -0.026933700  -0.722204000
cys  _HA_  1.4250   1.2500   0.008394800   0.285390400
cys  _HB2  1.4250   1.2500   0.008394800   0.285390400
cys  _HB3  1.4250   1.2500   0.008394800   0.285390400
cys  _HG_  0.9960   0.8600   0.079817800  -1.129220000
cys  _H__  0.9960   0.8600   0.079817800  -1.129220000
cys  _N__  1.9200   1.7000   0.168599800  -5.228863800
cys  _O__  1.6780   1.4800   0.010478200   0.635855300
cys  _SG_  2.0300   1.8000   0.036234600  -1.946073900
cysb _CA_  1.9750   1.7500   0.000085900  -0.754493700
cysb _CB_  1.9750   1.7500   0.000085900  -0.754493700
cysb _C__  2.1120   1.8750  -0.026933700  -0.722204000
cysb _H1_  0.9960   0.8600   0.079817800  -1.129220000
cysb _H2_  0.9960   0.8600   0.079817800  -1.129220000
cysb _H3_  0.9960   0.8600   0.079817800  -1.129220000
cysb _HA_  1.4250   1.2500   0.008394800   0.285390400
cysb _HB2  1.4250   1.2500   0.008394800   0.285390400
cysb _HB3  1.4250   1.2500   0.008394800   0.285390400
cysb _HG_  0.9960   0.8600   0.079817800  -1.129220000
cysb _N__  2.1000   1.6250  -0.100907100   4.805719700
cysb _O__  1.6780   1.4800   0.010478200   0.635855300
cysb _SG_  2.0300   1.8000   0.036234600  -1.946073900
cyse _CA_  1.9750   1.7500   0.000085900  -0.754493700
cyse _CB_  1.9750   1.7500   0.000085900  -0.754493700
cyse _C__  2.1120   1.8750  -0.026933700  -0.722204000
cyse _HA_  1.4250   1.2500   0.008394800   0.285390400
cyse _HB2  1.4250   1.2500   0.008394800   0.285390400
cyse _HB3  1.4250   1.2500   0.008394800   0.285390400
cyse _HG_  0.9960   0.8600   0.079817800  -1.129220000
cyse _H__  0.9960   0.8600   0.079817800  -1.129220000
cyse _N__  1.9200   1.7000   0.168599800  -5.228863800
cyse _OXT  1.6780   1.4800  -0.350477400  15.005156000
cyse _O__  1.6780   1.4800  -0.350477400  15.005156000
cyse _SG_  2.0300   1.8000   0.036234600  -1.946073900
cysz _CA_  1.9750   1.7500   0.000085900  -0.754493700
cysz _CB_  1.9750   1.7500   0.000085900  -0.754493700
cysz _C__  2.1120   1.8750  -0.026933700  -0.722204000
cysz _H1_  0.9960   0.8600   0.079817800  -1.129220000
cysz _H2_  0.9960   0.8600   0.079817800  -1.129220000
cysz _H3_  0.9960   0.8600   0.079817800  -1.129220000
cysz _HA_  1.4250   1.2500   0.008394800   0.285390400
cysz _HB2  1.4250   1.2500   0.008394800   0.285390400
cysz _HB3  1.4250   1.2500   0.008394800   0.285390400
cysz _HG_  0.9960   0.8600   0.079817800  -1.129220000
cysz _N__  2.1000   1.6250  -0.100907100   4.805719700
cysz _OXT  1.6780   1.4800  -0.350477400  15.005156000
cysz _O__  1.6780   1.4800  -0.350477400  15.005156000
cysz _SG_  2.0300   1.8000   0.036234600  -1.946073900
cyx  _CA_  1.9750   1.7500   0.000085900  -0.754493700
cyx  _CB_  1.9750   1.7500   0.000085900  -0.754493700
cyx  _C__  2.1120   1.8750  -0.026933700  -0.722204000
cyx  _HA_  1.4250   1.2500   0.008394800   0.285390400
cyx  _HB2  1.4250   1.2500   0.008394800   0.285390400
cyx  _HB3  1.4250   1.2500   0.008394800   0.285390400
cyx  _H__  0.9960   0.8600   0.079817800  -1.129220000
cyx  _N__  1.9200   1.7000   0.168599800  -5.228863800
cyx  _O__  1.6780   1.4800   0.010478200   0.635855300
cyx  _SG_  2.0300   1.8000   0.036234600  -1.946073900
cyxb _CA_  1.9750   1.7500   0.000085900  -0.754493700
cyxb _CB_  1.9750   1.7500   0.000085900  -0.754493700
cyxb _C__  2.1120   1.8750  -0.026933700  -0.722204000
cyxb _H1_  0.9960   0.8600   0.079817800  -1.129220000
cyxb _H2_  0.9960   0.8600   0.079817800  -1.129220000
cyxb _H3_  0.9960   0.8600   0.079817800  -1.129220000
cyxb _HA_  1.4250   1.2500   0.008394800   0.285390400
cyxb _HB2  1.4250   1.2500   0.008394800   0.285390400
cyxb _HB3  1.4250   1.2500   0.008394800   0.285390400
cyxb _N__  2.1000   1.6250  -0.100907100   4.805719700
cyxb _O__  1.6780   1.4800   0.010478200   0.635855300
cyxb _SG_  2.0300   1.8000   0.036234600  -1.946073900
cyxe _CA_  1.9750   1.7500   0.000085900  -0.754493700
cyxe _CB_  1.9750   1.7500   0.000085900  -0.754493700
cyxe _C__  2.1120   1.8750  -0.026933700  -0.722204000
cyxe _HA_  1.4250   1.2500   0.008394800   0.285390400
cyxe _HB2  1.4250   1.2500   0.008394800   0.285390400
cyxe _HB3  1.4250   1.2500   0.008394800   0.285390400
cyxe _H__  0.9960   0.8600   0.079817800  -1.129220000
cyxe _N__  1.9200   1.7000   0.168599800  -5.228863800
cyxe _OXT  1.6780   1.4800  -0.350477400  15.005156000
cyxe _O__  1.6780   1.4800  -0.350477400  15.005156000
cyxe _SG_  2.0300   1.8000   0.036234600  -1.946073900
cyxz _CA_  1.9750   1.7500   0.000085900  -0.754493700
cyxz _CB_  1.9750   1.7500   0.000085900  -0.754493700
cyxz _C__  2.1120   1.8750  -0.026933700  -0.722204000
cyxz _H1_  0.9960   0.8600   0.079817800  -1.129220000
cyxz _H2_  0.9960   0.8600   0.079817800  -1.129220000
cyxz _H3_  0.9960   0.8600   0.079817800  -1.129220000
cyxz _HA_  1.4250   1.2500   0.008394800   0.285390400
cyxz _HB2  1.4250   1.2500   0.008394800   0.285390400
cyxz _HB3  1.4250   1.2500   0.008394800   0.285390400
cyxz _N__  2.1000   1.6250  -0.100907100   4.805719700
cyxz _OXT  1.6780   1.4800  -0.350477400  15.005156000
cyxz _O__  1.6780   1.4800  -0.350477400  15.005156000
cyxz _SG_  2.0300   1.8000   0.036234600  -1.946073900
dab  H2''  1.4250   1.2500   0.008598240   0.268726247
dab  H5''  1.4250   1.2500   0.008598240   0.268726247
dab  HO5'  0.9960   0.8600   0.030040813  -0.651083722
dab  _C1'  1.9750   1.7500   0.005000000  -0.741685710
dab  _C2'  1.9750   1.7500   0.005000000  -0.741685710
dab  _C2_  2.0020   1.7750   0.001000000  -0.843144165
dab  _C3'  1.9750   1.7500   0.005000000  -0.741685710
dab  _C4'  1.9750   1.7500   0.005000000  -0.741685710
dab  _C4_  2.5000   1.7750   0.001000000  -0.843144165
dab  _C5'  1.9750   1.7500   0.005000000  -0.741685710
dab  _C5_  2.5000   1.7750   0.001000000  -0.843144165
dab  _C6_  2.0020   1.7750   0.001000000  -0.843144165
dab  _C8_  2.0020   1.7750   0.001000000  -0.843144165
dab  _H1'  1.4250   1.2500   0.008598240   0.268726247
dab  _H2'  1.4250   1.2500   0.008598240   0.268726247
dab  _H2_  1.3810   1.2100   0.030040813   0.268726247
dab  _H3'  1.4250   1.2500   0.008598240   0.268726247
dab  _H4'  1.4250   1.2500   0.008598240   0.268726247
dab  _H5'  1.4250   1.2500   0.008598240   0.268726247
dab  _H61  0.9960   0.8600   0.030040813  -0.651083722
dab  _H62  0.9960   0.8600   0.030040813  -0.651083722
dab  _H8_  1.3810   1.2100   0.030040813   0.268726247
dab  _N1_  1.8000   1.6000   0.001000000  -0.511443539
dab  _N3_  1.8000   1.6000   0.001000000  -0.511443539
dab  _N6_  1.8650   1.6500   0.051222218  -2.220205820
dab  _N7_  1.8000   1.6000   0.001000000  -0.511443539
dab  _N9_  1.8000   1.6000   0.001000000  -0.511443539
dab  _O3'  1.7660   1.5600   0.020110767  -0.896042159
dab  _O4'  1.7660   1.5600   0.020110767  -0.896042159
dab  _O5'  1.7660   1.5600   0.021068034  -0.322181743
dae  H2''  1.4250   1.2500   0.008598240   0.268726247
dae  H5''  1.4250   1.2500   0.008598240   0.268726247
dae  HO3'  0.9960   0.8600   0.030040813  -0.651083722
dae  _C1'  1.9750   1.7500   0.005000000  -0.741685710
dae  _C2'  1.9750   1.7500   0.005000000  -0.741685710
dae  _C2_  2.0020   1.7750   0.001000000  -0.843144165
dae  _C3'  1.9750   1.7500   0.005000000  -0.741685710
dae  _C4'  1.9750   1.7500   0.005000000  -0.741685710
dae  _C4_  2.5000   1.7750   0.001000000  -0.843144165
dae  _C5'  1.9750   1.7500   0.005000000  -0.741685710
dae  _C5_  2.5000   1.7750   0.001000000  -0.843144165
dae  _C6_  2.0020   1.7750   0.001000000  -0.843144165
dae  _C8_  2.0020   1.7750   0.001000000  -0.843144165
dae  _H1'  1.4250   1.2500   0.008598240   0.268726247
dae  _H2'  1.4250   1.2500   0.008598240   0.268726247
dae  _H2_  1.3810   1.2100   0.030040813   0.268726247
dae  _H3'  1.4250   1.2500   0.008598240   0.268726247
dae  _H4'  1.4250   1.2500   0.008598240   0.268726247
dae  _H5'  1.4250   1.2500   0.008598240   0.268726247
dae  _H61  0.9960   0.8600   0.030040813  -0.651083722
dae  _H62  0.9960   0.8600   0.030040813  -0.651083722
dae  _H8_  1.3810   1.2100   0.030040813   0.268726247
dae  _N1_  1.8000   1.6000   0.001000000  -0.511443539
dae  _N3_  1.8000   1.6000   0.001000000  -0.511443539
dae  _N6_  1.8650   1.6500   0.051222218  -2.220205820
dae  _N7_  1.8000   1.6000   0.001000000  -0.511443539
dae  _N9_  1.8000   1.6000   0.001000000  -0.511443539
dae  _O3'  1.7660   1.5600   0.021068034  -0.322181743
dae  _O4'  1.7660   1.5600   0.020110767  -0.896042159
dae  _O5'  1.7660   1.5600   0.020110767  -0.896042159
dae  _OP1  1.6890   1.4900   0.001000000  -0.126889456
dae  _OP2  1.6890   1.4900   0.001000000  -0.126889456
dae  _P__  2.1070   1.8700   0.005000000   0.000000000
dcb  H2''  1.4250   1.2500   0.008598240   0.268726247
dcb  H5''  1.4250   1.2500   0.008598240   0.268726247
dcb  HO5'  0.9960   0.8600   0.030040813  -0.651083722
dcb  _C1'  1.9750   1.7500   0.005000000  -0.741685710
dcb  _C2'  1.9750   1.7500   0.005000000  -0.741685710
dcb  _C2_  1.9250   1.7000   0.001000000  -0.126889456
dcb  _C3'  1.9750   1.7500   0.005000000  -0.741685710
dcb  _C4'  1.9750   1.7500   0.005000000  -0.741685710
dcb  _C4_  2.0020   1.7750   0.023028004  -0.852763146
dcb  _C5'  1.9750   1.7500   0.005000000  -0.741685710
dcb  _C5_  2.0020   1.7750   0.023028004  -0.852763146
dcb  _C6_  2.0020   1.7750   0.023028004  -0.852763146
dcb  _H1'  1.3810   1.2100   0.008598240   0.268726247
dcb  _H2'  1.4250   1.2500   0.008598240   0.268726247
dcb  _H3'  1.4250   1.2500   0.008598240   0.268726247
dcb  _H4'  1.4250   1.2500   0.008598240   0.268726247
dcb  _H41  0.9960   0.8600   0.030040813  -0.651083722
dcb  _H42  0.9960   0.8600   0.030040813  -0.651083722
dcb  _H5'  1.4250   1.2500   0.008598240   0.268726247
dcb  _H5_  1.4250   1.2500   0.008598240   0.268726247
dcb  _H6_  1.4250   1.2500   0.008598240   0.268726247
dcb  _N1_  1.8100   1.6000   0.054801302  -1.445846770
dcb  _N3_  1.8375   1.6250   0.005000000   0.000000000
dcb  _N4_  1.8650   1.6500   0.051222218  -2.220205820
dcb  _O2_  1.5250   1.4250   0.001000000  -1.480495490
